,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
299,TVSMOTOR,986801.0,1030.0,Yes,No,No,Yes,,,,,,,,
300,UCOBANK,22388109.0,32.0,No,No,No,Yes,,,,,,,,
301,UJJIVANSFB,8933988.0,30.0,No,No,No,Yes,,,,Yes,,,,
302,UNIONBANK,18329837.0,80.0,No,No,No,Yes,,,,,,,,
303,UPL,1407181.0,720.0,No,No,No,Yes,,,,,,,,
304,USHAMART,1160698.0,182.0,No,No,Yes,Yes,,,,Yes,,,,
305,UTIAMC,209794.0,841.0,No,No,Yes,Yes,,,,,,,,
306,VAKRANGEE,1196937.0,27.0,No,No,No,Yes,,,,,,,,
307,VBL,1752706.0,1308.0,Yes,Yes,Yes,Yes,,,,Yes,63,,,Yes
308,VEDL,6580813.0,311.0,No,No,No,Yes,,,,Yes,,,,
309,VIJAYA,87400.0,401.0,No,No,No,Yes,,,,,,Yes,,
310,VOLTAS,1361116.0,809.0,No,No,No,Yes,,,,,,,,
311,WELCORP,339907.0,226.0,No,No,No,Yes,,,,,,,,
312,WELENT,266899.0,169.0,No,No,No,Yes,,,,Yes,,,,
313,WELSPUNIND,687791.0,74.0,No,No,No,Yes,,,,,,,,
314,WIPRO,4782940.0,386.0,No,No,No,,,,,Yes,,,,
315,WOCKPHARMA,1139314.0,235.0,No,No,No,Yes,,,,Yes,63,,,
316,YESBANK,206993869.0,21.0,No,No,No,Yes,,,,Yes,,,,
317,ZEEL,4487874.0,239.0,No,No,No,Yes,,,,,,,,
318,ZENSARTECH,1328162.0,210.0,No,No,No,Yes,,,,Yes,,Yes,,
319,ZOMATO,34445918.0,56.0,No,No,No,Yes,,,,,,,,
